input,query,time,language,algorithm
1000,475,10,C,linear_recursive
1000,779,11,C,linear_recursive
1000,-1,11,C,linear_recursive
1000,-1,8,C,linear_recursive
1000,350,3,C,linear_recursive
1000,356,3,C,linear_recursive
1000,-1,8,C,linear_recursive
1000,640,5,C,linear_recursive
1000,403,3,C,linear_recursive
1000,308,2,C,linear_recursive
2000,-1,29,C,linear_recursive
2000,1648,13,C,linear_recursive
2000,-1,16,C,linear_recursive
2000,-1,16,C,linear_recursive
2000,-1,16,C,linear_recursive
2000,-1,15,C,linear_recursive
2000,226,2,C,linear_recursive
2000,-1,15,C,linear_recursive
2000,-1,16,C,linear_recursive
2000,1370,10,C,linear_recursive
3000,-1,40,C,linear_recursive
3000,-1,24,C,linear_recursive
3000,-1,24,C,linear_recursive
3000,1096,8,C,linear_recursive
3000,-1,24,C,linear_recursive
3000,2728,21,C,linear_recursive
3000,2439,19,C,linear_recursive
3000,673,5,C,linear_recursive
3000,-1,24,C,linear_recursive
3000,516,4,C,linear_recursive
4000,1940,16,C,linear_recursive
4000,-1,50,C,linear_recursive
4000,-1,33,C,linear_recursive
4000,-1,33,C,linear_recursive
4000,-1,33,C,linear_recursive
4000,2272,18,C,linear_recursive
4000,600,5,C,linear_recursive
4000,219,1,C,linear_recursive
4000,1018,8,C,linear_recursive
4000,-1,34,C,linear_recursive
5000,3115,25,C,linear_recursive
5000,-1,61,C,linear_recursive
5000,4744,40,C,linear_recursive
5000,2047,16,C,linear_recursive
5000,1478,12,C,linear_recursive
5000,621,5,C,linear_recursive
5000,4444,38,C,linear_recursive
5000,2474,20,C,linear_recursive
5000,-1,42,C,linear_recursive
5000,-1,42,C,linear_recursive
6000,-1,67,C,linear_recursive
6000,2390,19,C,linear_recursive
6000,-1,52,C,linear_recursive
6000,3602,29,C,linear_recursive
6000,-1,52,C,linear_recursive
6000,2031,16,C,linear_recursive
6000,2902,23,C,linear_recursive
6000,3665,35,C,linear_recursive
6000,2698,22,C,linear_recursive
6000,224,2,C,linear_recursive
7000,-1,82,C,linear_recursive
7000,-1,61,C,linear_recursive
7000,-1,61,C,linear_recursive
7000,-1,61,C,linear_recursive
7000,2142,17,C,linear_recursive
7000,-1,61,C,linear_recursive
7000,6784,59,C,linear_recursive
7000,-1,61,C,linear_recursive
7000,-1,61,C,linear_recursive
7000,-1,61,C,linear_recursive
8000,6937,61,C,linear_recursive
8000,7260,69,C,linear_recursive
8000,7886,80,C,linear_recursive
8000,-1,76,C,linear_recursive
8000,2906,23,C,linear_recursive
8000,6663,55,C,linear_recursive
8000,-1,67,C,linear_recursive
8000,713,5,C,linear_recursive
8000,2684,21,C,linear_recursive
8000,-1,68,C,linear_recursive
9000,-1,115,C,linear_recursive
9000,51,0,C,linear_recursive
9000,5818,55,C,linear_recursive
9000,7531,65,C,linear_recursive
9000,822,6,C,linear_recursive
9000,-1,79,C,linear_recursive
9000,5076,41,C,linear_recursive
9000,3312,26,C,linear_recursive
9000,-1,77,C,linear_recursive
9000,6723,56,C,linear_recursive
10000,7846,66,C,linear_recursive
10000,8120,68,C,linear_recursive
10000,-1,100,C,linear_recursive
10000,-1,86,C,linear_recursive
10000,9639,82,C,linear_recursive
10000,2916,23,C,linear_recursive
10000,6780,57,C,linear_recursive
10000,-1,85,C,linear_recursive
10000,-1,86,C,linear_recursive
10000,6262,52,C,linear_recursive
11000,-1,119,C,linear_recursive
11000,-1,91,C,linear_recursive
11000,8299,67,C,linear_recursive
11000,10909,91,C,linear_recursive
11000,-1,91,C,linear_recursive
11000,5339,42,C,linear_recursive
11000,10409,86,C,linear_recursive
11000,-1,91,C,linear_recursive
11000,768,5,C,linear_recursive
11000,-1,92,C,linear_recursive
12000,-1,118,C,linear_recursive
12000,8587,70,C,linear_recursive
12000,7299,59,C,linear_recursive
12000,-1,99,C,linear_recursive
12000,-1,100,C,linear_recursive
12000,-1,100,C,linear_recursive
12000,3775,34,C,linear_recursive
12000,-1,110,C,linear_recursive
12000,2098,15,C,linear_recursive
12000,9449,77,C,linear_recursive
13000,-1,141,C,linear_recursive
13000,-1,103,C,linear_recursive
13000,8391,66,C,linear_recursive
13000,12659,101,C,linear_recursive
13000,773,5,C,linear_recursive
13000,5046,38,C,linear_recursive
13000,-1,104,C,linear_recursive
13000,3121,23,C,linear_recursive
13000,-1,104,C,linear_recursive
13000,6826,53,C,linear_recursive
14000,-1,146,C,linear_recursive
14000,-1,111,C,linear_recursive
14000,4616,35,C,linear_recursive
14000,5971,46,C,linear_recursive
14000,-1,112,C,linear_recursive
14000,2796,20,C,linear_recursive
14000,4378,32,C,linear_recursive
14000,267,2,C,linear_recursive
