input,time,language,algorithm
1000,4266,C,insertion_recursive
1000,4824,C,insertion_recursive
1000,4244,C,insertion_recursive
1000,4015,C,insertion_recursive
1000,3601,C,insertion_recursive
1000,3470,C,insertion_recursive
1000,3443,C,insertion_recursive
1000,3544,C,insertion_recursive
1000,3402,C,insertion_recursive
1000,3311,C,insertion_recursive
2000,12688,C,insertion_recursive
2000,12042,C,insertion_recursive
2000,11369,C,insertion_recursive
2000,11016,C,insertion_recursive
2000,10258,C,insertion_recursive
2000,9945,C,insertion_recursive
2000,9480,C,insertion_recursive
2000,9147,C,insertion_recursive
2000,9008,C,insertion_recursive
2000,8701,C,insertion_recursive
3000,18584,C,insertion_recursive
3000,17781,C,insertion_recursive
3000,16230,C,insertion_recursive
3000,15752,C,insertion_recursive
3000,15079,C,insertion_recursive
3000,14750,C,insertion_recursive
3000,14082,C,insertion_recursive
3000,13434,C,insertion_recursive
3000,13580,C,insertion_recursive
3000,13617,C,insertion_recursive
4000,24178,C,insertion_recursive
4000,23780,C,insertion_recursive
4000,25037,C,insertion_recursive
4000,25375,C,insertion_recursive
4000,24205,C,insertion_recursive
4000,24809,C,insertion_recursive
4000,24534,C,insertion_recursive
4000,24054,C,insertion_recursive
4000,24957,C,insertion_recursive
4000,25792,C,insertion_recursive
5000,39541,C,insertion_recursive
5000,39862,C,insertion_recursive
5000,39754,C,insertion_recursive
5000,39504,C,insertion_recursive
5000,39288,C,insertion_recursive
5000,40010,C,insertion_recursive
5000,39771,C,insertion_recursive
5000,38645,C,insertion_recursive
5000,38936,C,insertion_recursive
5000,39554,C,insertion_recursive
6000,55916,C,insertion_recursive
6000,56183,C,insertion_recursive
6000,55123,C,insertion_recursive
6000,55040,C,insertion_recursive
6000,55570,C,insertion_recursive
6000,54831,C,insertion_recursive
6000,56265,C,insertion_recursive
6000,55391,C,insertion_recursive
6000,55834,C,insertion_recursive
6000,56221,C,insertion_recursive
7000,81258,C,insertion_recursive
7000,75405,C,insertion_recursive
7000,76406,C,insertion_recursive
7000,75818,C,insertion_recursive
7000,75656,C,insertion_recursive
7000,76550,C,insertion_recursive
7000,75732,C,insertion_recursive
7000,74936,C,insertion_recursive
7000,77288,C,insertion_recursive
7000,76425,C,insertion_recursive
8000,99759,C,insertion_recursive
8000,99408,C,insertion_recursive
8000,104161,C,insertion_recursive
8000,104543,C,insertion_recursive
8000,102722,C,insertion_recursive
8000,99779,C,insertion_recursive
8000,100358,C,insertion_recursive
8000,100094,C,insertion_recursive
8000,98348,C,insertion_recursive
8000,97716,C,insertion_recursive
9000,126744,C,insertion_recursive
9000,129754,C,insertion_recursive
9000,130668,C,insertion_recursive
9000,135800,C,insertion_recursive
9000,132199,C,insertion_recursive
9000,134728,C,insertion_recursive
9000,136294,C,insertion_recursive
9000,136366,C,insertion_recursive
9000,134071,C,insertion_recursive
9000,132117,C,insertion_recursive
10000,163193,C,insertion_recursive
10000,157186,C,insertion_recursive
10000,165417,C,insertion_recursive
10000,169072,C,insertion_recursive
10000,164989,C,insertion_recursive
10000,167589,C,insertion_recursive
10000,167315,C,insertion_recursive
10000,164517,C,insertion_recursive
10000,169371,C,insertion_recursive
10000,164151,C,insertion_recursive
11000,201482,C,insertion_recursive
11000,204383,C,insertion_recursive
11000,200975,C,insertion_recursive
11000,203694,C,insertion_recursive
11000,204099,C,insertion_recursive
11000,202946,C,insertion_recursive
11000,202859,C,insertion_recursive
11000,202852,C,insertion_recursive
11000,205551,C,insertion_recursive
11000,203544,C,insertion_recursive
12000,239288,C,insertion_recursive
12000,239685,C,insertion_recursive
12000,246222,C,insertion_recursive
12000,237404,C,insertion_recursive
12000,238292,C,insertion_recursive
12000,257729,C,insertion_recursive
12000,246334,C,insertion_recursive
12000,242677,C,insertion_recursive
12000,243781,C,insertion_recursive
12000,241028,C,insertion_recursive
13000,275254,C,insertion_recursive
13000,282972,C,insertion_recursive
13000,286492,C,insertion_recursive
13000,284169,C,insertion_recursive
13000,280337,C,insertion_recursive
13000,284697,C,insertion_recursive
13000,283999,C,insertion_recursive
13000,282193,C,insertion_recursive
13000,273742,C,insertion_recursive
13000,274093,C,insertion_recursive
14000,320948,C,insertion_recursive
14000,330597,C,insertion_recursive
14000,334300,C,insertion_recursive
14000,325441,C,insertion_recursive
14000,327371,C,insertion_recursive
14000,320463,C,insertion_recursive
14000,329567,C,insertion_recursive
14000,333797,C,insertion_recursive
14000,318173,C,insertion_recursive
14000,332471,C,insertion_recursive
15000,378690,C,insertion_recursive
15000,371795,C,insertion_recursive
15000,379578,C,insertion_recursive
15000,382889,C,insertion_recursive
15000,380280,C,insertion_recursive
15000,363589,C,insertion_recursive
15000,370939,C,insertion_recursive
15000,388612,C,insertion_recursive
15000,375143,C,insertion_recursive
15000,374925,C,insertion_recursive
16000,432168,C,insertion_recursive
16000,426230,C,insertion_recursive
16000,425847,C,insertion_recursive
16000,432060,C,insertion_recursive
16000,430701,C,insertion_recursive
16000,433288,C,insertion_recursive
16000,431120,C,insertion_recursive
16000,428029,C,insertion_recursive
16000,431693,C,insertion_recursive
16000,427654,C,insertion_recursive
17000,476055,C,insertion_recursive
17000,482715,C,insertion_recursive
17000,491693,C,insertion_recursive
17000,488805,C,insertion_recursive
17000,485597,C,insertion_recursive
17000,486460,C,insertion_recursive
17000,490176,C,insertion_recursive
17000,487337,C,insertion_recursive
17000,485704,C,insertion_recursive
17000,495002,C,insertion_recursive
18000,559127,C,insertion_recursive
18000,543779,C,insertion_recursive
18000,557120,C,insertion_recursive
18000,551188,C,insertion_recursive
18000,548347,C,insertion_recursive
18000,549537,C,insertion_recursive
18000,541073,C,insertion_recursive
18000,531663,C,insertion_recursive
18000,541911,C,insertion_recursive
18000,560004,C,insertion_recursive
19000,616858,C,insertion_recursive
19000,624179,C,insertion_recursive
19000,609915,C,insertion_recursive
19000,616859,C,insertion_recursive
19000,617777,C,insertion_recursive
19000,606660,C,insertion_recursive
19000,616164,C,insertion_recursive
19000,610745,C,insertion_recursive
19000,621846,C,insertion_recursive
19000,617115,C,insertion_recursive
20000,690470,C,insertion_recursive
20000,661224,C,insertion_recursive
20000,654888,C,insertion_recursive
20000,652405,C,insertion_recursive
20000,665558,C,insertion_recursive
20000,677328,C,insertion_recursive
20000,699878,C,insertion_recursive
20000,698563,C,insertion_recursive
20000,702399,C,insertion_recursive
20000,685268,C,insertion_recursive
21000,756343,C,insertion_recursive
21000,748200,C,insertion_recursive
21000,750578,C,insertion_recursive
21000,736017,C,insertion_recursive
21000,737030,C,insertion_recursive
21000,716562,C,insertion_recursive
21000,714969,C,insertion_recursive
21000,731735,C,insertion_recursive
21000,748772,C,insertion_recursive
21000,748858,C,insertion_recursive
22000,838212,C,insertion_recursive
22000,829788,C,insertion_recursive
22000,849484,C,insertion_recursive
22000,832199,C,insertion_recursive
