time,input,algorithm,implementation,language,dummy
0.000009,1000,binary_search,iterative,Python,475
0.000004,1000,binary_search,iterative,Python,779
0.000004,1000,binary_search,iterative,Python,-1
0.000004,1000,binary_search,iterative,Python,-1
0.000004,1000,binary_search,iterative,Python,350
0.000004,1000,binary_search,iterative,Python,356
0.000004,1000,binary_search,iterative,Python,-1
0.000004,1000,binary_search,iterative,Python,640
0.000004,1000,binary_search,iterative,Python,403
0.000004,1000,binary_search,iterative,Python,308
0.000004,2000,binary_search,iterative,Python,-1
0.000005,2000,binary_search,iterative,Python,1648
0.000004,2000,binary_search,iterative,Python,-1
0.000004,2000,binary_search,iterative,Python,-1
0.000004,2000,binary_search,iterative,Python,-1
0.000004,2000,binary_search,iterative,Python,-1
0.000004,2000,binary_search,iterative,Python,226
0.000004,2000,binary_search,iterative,Python,-1
0.000004,2000,binary_search,iterative,Python,-1
0.000004,2000,binary_search,iterative,Python,1370
0.000004,3000,binary_search,iterative,Python,-1
0.000004,3000,binary_search,iterative,Python,-1
0.000004,3000,binary_search,iterative,Python,-1
0.000005,3000,binary_search,iterative,Python,1096
0.000004,3000,binary_search,iterative,Python,-1
0.000004,3000,binary_search,iterative,Python,2728
0.000005,3000,binary_search,iterative,Python,2439
0.000005,3000,binary_search,iterative,Python,673
0.000004,3000,binary_search,iterative,Python,-1
0.000003,3000,binary_search,iterative,Python,516
0.000005,4000,binary_search,iterative,Python,1940
0.000005,4000,binary_search,iterative,Python,-1
0.000004,4000,binary_search,iterative,Python,-1
0.000004,4000,binary_search,iterative,Python,-1
0.000004,4000,binary_search,iterative,Python,-1
0.000005,4000,binary_search,iterative,Python,2272
0.000005,4000,binary_search,iterative,Python,600
0.000003,4000,binary_search,iterative,Python,219
0.000005,4000,binary_search,iterative,Python,1018
0.000004,4000,binary_search,iterative,Python,-1
0.000005,5000,binary_search,iterative,Python,3115
0.000005,5000,binary_search,iterative,Python,-1
0.000005,5000,binary_search,iterative,Python,4744
0.000004,5000,binary_search,iterative,Python,2047
0.000005,5000,binary_search,iterative,Python,1478
0.000004,5000,binary_search,iterative,Python,621
0.000005,5000,binary_search,iterative,Python,4444
0.000005,5000,binary_search,iterative,Python,2474
0.000005,5000,binary_search,iterative,Python,-1
0.000005,5000,binary_search,iterative,Python,-1
0.000005,6000,binary_search,iterative,Python,-1
0.000005,6000,binary_search,iterative,Python,2390
0.000005,6000,binary_search,iterative,Python,-1
0.000005,6000,binary_search,iterative,Python,3602
0.000005,6000,binary_search,iterative,Python,-1
0.000005,6000,binary_search,iterative,Python,2031
0.000005,6000,binary_search,iterative,Python,2902
0.000005,6000,binary_search,iterative,Python,3665
0.000005,6000,binary_search,iterative,Python,2698
0.000005,6000,binary_search,iterative,Python,224
0.000005,7000,binary_search,iterative,Python,-1
0.000005,7000,binary_search,iterative,Python,-1
0.000005,7000,binary_search,iterative,Python,-1
0.000005,7000,binary_search,iterative,Python,-1
0.000005,7000,binary_search,iterative,Python,2142
0.000005,7000,binary_search,iterative,Python,-1
0.000005,7000,binary_search,iterative,Python,6784
0.000005,7000,binary_search,iterative,Python,-1
0.000005,7000,binary_search,iterative,Python,-1
0.000005,7000,binary_search,iterative,Python,-1
0.000005,8000,binary_search,iterative,Python,6937
0.000005,8000,binary_search,iterative,Python,7260
0.000006,8000,binary_search,iterative,Python,7886
0.000006,8000,binary_search,iterative,Python,-1
0.000006,8000,binary_search,iterative,Python,2906
0.000005,8000,binary_search,iterative,Python,6663
0.000006,8000,binary_search,iterative,Python,-1
0.000005,8000,binary_search,iterative,Python,713
0.000005,8000,binary_search,iterative,Python,2684
0.000005,8000,binary_search,iterative,Python,-1
0.000005,9000,binary_search,iterative,Python,-1
0.000005,9000,binary_search,iterative,Python,51
0.000006,9000,binary_search,iterative,Python,5818
0.000005,9000,binary_search,iterative,Python,7531
0.000005,9000,binary_search,iterative,Python,822
0.000005,9000,binary_search,iterative,Python,-1
0.000006,9000,binary_search,iterative,Python,5076
0.000005,9000,binary_search,iterative,Python,3312
0.000006,9000,binary_search,iterative,Python,-1
0.000005,9000,binary_search,iterative,Python,6723
0.000005,10000,binary_search,iterative,Python,7846
0.000005,10000,binary_search,iterative,Python,8120
0.000005,10000,binary_search,iterative,Python,-1
0.000005,10000,binary_search,iterative,Python,-1
0.000006,10000,binary_search,iterative,Python,9639
0.000005,10000,binary_search,iterative,Python,2916
0.000006,10000,binary_search,iterative,Python,6780
0.000005,10000,binary_search,iterative,Python,-1
0.000006,10000,binary_search,iterative,Python,-1
0.000006,10000,binary_search,iterative,Python,6262
0.000005,11000,binary_search,iterative,Python,-1
0.000005,11000,binary_search,iterative,Python,-1
0.000005,11000,binary_search,iterative,Python,8299
0.000006,11000,binary_search,iterative,Python,10909
0.000005,11000,binary_search,iterative,Python,-1
0.000006,11000,binary_search,iterative,Python,5339
0.000006,11000,binary_search,iterative,Python,10409
0.000005,11000,binary_search,iterative,Python,-1
0.000006,11000,binary_search,iterative,Python,768
