time,input,algorithm,implementation,language,dummy
0.000032,1000,linear_search,iterative,Python,475
0.000053,1000,linear_search,iterative,Python,779
0.000064,1000,linear_search,iterative,Python,-1
0.000063,1000,linear_search,iterative,Python,-1
0.000024,1000,linear_search,iterative,Python,350
0.000024,1000,linear_search,iterative,Python,356
0.000064,1000,linear_search,iterative,Python,-1
0.000043,1000,linear_search,iterative,Python,640
0.000028,1000,linear_search,iterative,Python,403
0.000021,1000,linear_search,iterative,Python,308
0.000126,2000,linear_search,iterative,Python,-1
0.000110,2000,linear_search,iterative,Python,1648
0.000127,2000,linear_search,iterative,Python,-1
0.000128,2000,linear_search,iterative,Python,-1
0.000128,2000,linear_search,iterative,Python,-1
0.000129,2000,linear_search,iterative,Python,-1
0.000016,2000,linear_search,iterative,Python,226
0.000129,2000,linear_search,iterative,Python,-1
0.000129,2000,linear_search,iterative,Python,-1
0.000089,2000,linear_search,iterative,Python,1370
0.000194,3000,linear_search,iterative,Python,-1
0.000192,3000,linear_search,iterative,Python,-1
0.000192,3000,linear_search,iterative,Python,-1
0.000073,3000,linear_search,iterative,Python,1096
0.000194,3000,linear_search,iterative,Python,-1
0.000184,3000,linear_search,iterative,Python,2728
0.000163,3000,linear_search,iterative,Python,2439
0.000045,3000,linear_search,iterative,Python,673
0.000193,3000,linear_search,iterative,Python,-1
0.000035,3000,linear_search,iterative,Python,516
0.000130,4000,linear_search,iterative,Python,1940
0.000250,4000,linear_search,iterative,Python,-1
0.000261,4000,linear_search,iterative,Python,-1
0.000256,4000,linear_search,iterative,Python,-1
0.000259,4000,linear_search,iterative,Python,-1
0.000151,4000,linear_search,iterative,Python,2272
0.000042,4000,linear_search,iterative,Python,600
0.000015,4000,linear_search,iterative,Python,219
0.000069,4000,linear_search,iterative,Python,1018
0.000250,4000,linear_search,iterative,Python,-1
0.000209,5000,linear_search,iterative,Python,3115
0.000314,5000,linear_search,iterative,Python,-1
0.000321,5000,linear_search,iterative,Python,4744
0.000133,5000,linear_search,iterative,Python,2047
0.000101,5000,linear_search,iterative,Python,1478
0.000042,5000,linear_search,iterative,Python,621
0.000297,5000,linear_search,iterative,Python,4444
0.000160,5000,linear_search,iterative,Python,2474
0.000335,5000,linear_search,iterative,Python,-1
0.000320,5000,linear_search,iterative,Python,-1
0.000388,6000,linear_search,iterative,Python,-1
0.000158,6000,linear_search,iterative,Python,2390
0.000392,6000,linear_search,iterative,Python,-1
0.000239,6000,linear_search,iterative,Python,3602
0.000390,6000,linear_search,iterative,Python,-1
0.000136,6000,linear_search,iterative,Python,2031
0.000197,6000,linear_search,iterative,Python,2902
0.000238,6000,linear_search,iterative,Python,3665
0.000187,6000,linear_search,iterative,Python,2698
0.000016,6000,linear_search,iterative,Python,224
0.000452,7000,linear_search,iterative,Python,-1
0.000448,7000,linear_search,iterative,Python,-1
0.000449,7000,linear_search,iterative,Python,-1
0.000445,7000,linear_search,iterative,Python,-1
0.000144,7000,linear_search,iterative,Python,2142
0.000438,7000,linear_search,iterative,Python,-1
0.000452,7000,linear_search,iterative,Python,6784
0.000445,7000,linear_search,iterative,Python,-1
0.000461,7000,linear_search,iterative,Python,-1
0.000448,7000,linear_search,iterative,Python,-1
