time,input,algorithm,implementation,language,dummy
0.004968,1000,merge_sort,iterative,Python,0
0.004942,1000,merge_sort,iterative,Python,1
0.004900,1000,merge_sort,iterative,Python,0
0.004909,1000,merge_sort,iterative,Python,1
0.004940,1000,merge_sort,iterative,Python,1
0.004934,1000,merge_sort,iterative,Python,0
0.004916,1000,merge_sort,iterative,Python,0
0.004926,1000,merge_sort,iterative,Python,1
0.004922,1000,merge_sort,iterative,Python,1
0.004943,1000,merge_sort,iterative,Python,1
0.010650,2000,merge_sort,iterative,Python,0
0.010654,2000,merge_sort,iterative,Python,1
0.010631,2000,merge_sort,iterative,Python,0
0.010766,2000,merge_sort,iterative,Python,0
0.010653,2000,merge_sort,iterative,Python,0
0.010774,2000,merge_sort,iterative,Python,0
0.010644,2000,merge_sort,iterative,Python,2
0.010707,2000,merge_sort,iterative,Python,0
0.010846,2000,merge_sort,iterative,Python,0
0.010838,2000,merge_sort,iterative,Python,0
0.017092,3000,merge_sort,iterative,Python,0
0.017419,3000,merge_sort,iterative,Python,0
0.017408,3000,merge_sort,iterative,Python,0
0.017455,3000,merge_sort,iterative,Python,0
0.017435,3000,merge_sort,iterative,Python,0
0.017505,3000,merge_sort,iterative,Python,0
0.017424,3000,merge_sort,iterative,Python,0
0.017486,3000,merge_sort,iterative,Python,0
0.017295,3000,merge_sort,iterative,Python,1
0.017474,3000,merge_sort,iterative,Python,0
0.023195,4000,merge_sort,iterative,Python,0
0.023016,4000,merge_sort,iterative,Python,0
0.023449,4000,merge_sort,iterative,Python,0
0.023503,4000,merge_sort,iterative,Python,0
0.023196,4000,merge_sort,iterative,Python,0
0.023361,4000,merge_sort,iterative,Python,0
0.023520,4000,merge_sort,iterative,Python,0
0.023341,4000,merge_sort,iterative,Python,0
0.023262,4000,merge_sort,iterative,Python,0
0.023395,4000,merge_sort,iterative,Python,0
0.031062,5000,merge_sort,iterative,Python,0
0.031067,5000,merge_sort,iterative,Python,0
0.030859,5000,merge_sort,iterative,Python,0
0.031064,5000,merge_sort,iterative,Python,0
0.030900,5000,merge_sort,iterative,Python,0
0.031421,5000,merge_sort,iterative,Python,0
0.031133,5000,merge_sort,iterative,Python,0
0.030952,5000,merge_sort,iterative,Python,0
0.031341,5000,merge_sort,iterative,Python,0
0.031118,5000,merge_sort,iterative,Python,0
0.037560,6000,merge_sort,iterative,Python,0
0.037249,6000,merge_sort,iterative,Python,0
0.037322,6000,merge_sort,iterative,Python,0
0.036989,6000,merge_sort,iterative,Python,0
0.037119,6000,merge_sort,iterative,Python,0
0.037383,6000,merge_sort,iterative,Python,0
0.037560,6000,merge_sort,iterative,Python,0
0.037540,6000,merge_sort,iterative,Python,0
0.037318,6000,merge_sort,iterative,Python,0
0.037711,6000,merge_sort,iterative,Python,0
0.043699,7000,merge_sort,iterative,Python,0
0.043854,7000,merge_sort,iterative,Python,0
0.043688,7000,merge_sort,iterative,Python,0
0.043781,7000,merge_sort,iterative,Python,0
0.043577,7000,merge_sort,iterative,Python,0
0.043274,7000,merge_sort,iterative,Python,0
0.043244,7000,merge_sort,iterative,Python,0
0.043524,7000,merge_sort,iterative,Python,0
0.043576,7000,merge_sort,iterative,Python,0
0.044005,7000,merge_sort,iterative,Python,0
0.049177,8000,merge_sort,iterative,Python,0
0.050081,8000,merge_sort,iterative,Python,0
0.049681,8000,merge_sort,iterative,Python,0
0.049915,8000,merge_sort,iterative,Python,0
0.049552,8000,merge_sort,iterative,Python,0
0.050676,8000,merge_sort,iterative,Python,0
0.050052,8000,merge_sort,iterative,Python,0
0.050500,8000,merge_sort,iterative,Python,0
0.049849,8000,merge_sort,iterative,Python,0
0.050501,8000,merge_sort,iterative,Python,0
0.059587,9000,merge_sort,iterative,Python,0
0.060323,9000,merge_sort,iterative,Python,0
0.059933,9000,merge_sort,iterative,Python,0
0.059780,9000,merge_sort,iterative,Python,0
0.059925,9000,merge_sort,iterative,Python,0
0.059405,9000,merge_sort,iterative,Python,0
0.059732,9000,merge_sort,iterative,Python,0
0.059885,9000,merge_sort,iterative,Python,0
0.059521,9000,merge_sort,iterative,Python,0
0.059382,9000,merge_sort,iterative,Python,0
0.065543,10000,merge_sort,iterative,Python,0
0.067103,10000,merge_sort,iterative,Python,0
0.066521,10000,merge_sort,iterative,Python,0
0.065954,10000,merge_sort,iterative,Python,0
0.066640,10000,merge_sort,iterative,Python,0
0.066720,10000,merge_sort,iterative,Python,0
0.065954,10000,merge_sort,iterative,Python,0
0.067157,10000,merge_sort,iterative,Python,0
0.066446,10000,merge_sort,iterative,Python,0
0.066639,10000,merge_sort,iterative,Python,0
0.073433,11000,merge_sort,iterative,Python,0
0.073997,11000,merge_sort,iterative,Python,0
0.072108,11000,merge_sort,iterative,Python,0
0.073317,11000,merge_sort,iterative,Python,0
0.073107,11000,merge_sort,iterative,Python,0
0.074103,11000,merge_sort,iterative,Python,0
0.071664,11000,merge_sort,iterative,Python,0
0.072914,11000,merge_sort,iterative,Python,0
0.072447,11000,merge_sort,iterative,Python,0
0.073055,11000,merge_sort,iterative,Python,0
0.079882,12000,merge_sort,iterative,Python,0
0.079736,12000,merge_sort,iterative,Python,0
0.079768,12000,merge_sort,iterative,Python,0
0.079358,12000,merge_sort,iterative,Python,0
0.080068,12000,merge_sort,iterative,Python,0
0.079117,12000,merge_sort,iterative,Python,0
0.080291,12000,merge_sort,iterative,Python,0
0.079919,12000,merge_sort,iterative,Python,0
0.079859,12000,merge_sort,iterative,Python,0
0.079593,12000,merge_sort,iterative,Python,0
0.086866,13000,merge_sort,iterative,Python,0
0.087189,13000,merge_sort,iterative,Python,0
0.085937,13000,merge_sort,iterative,Python,0
