time,input,algorithm,implementation,language,dummy
0.005020,1000,merge_sort,recursive,Python,0
0.005036,1000,merge_sort,recursive,Python,1
0.005042,1000,merge_sort,recursive,Python,0
0.005054,1000,merge_sort,recursive,Python,1
0.005048,1000,merge_sort,recursive,Python,1
0.005018,1000,merge_sort,recursive,Python,0
0.005039,1000,merge_sort,recursive,Python,0
0.005040,1000,merge_sort,recursive,Python,1
0.005048,1000,merge_sort,recursive,Python,1
0.005042,1000,merge_sort,recursive,Python,1
0.010996,2000,merge_sort,recursive,Python,0
0.010901,2000,merge_sort,recursive,Python,1
0.010899,2000,merge_sort,recursive,Python,0
0.010891,2000,merge_sort,recursive,Python,0
0.010863,2000,merge_sort,recursive,Python,0
0.010929,2000,merge_sort,recursive,Python,0
0.010893,2000,merge_sort,recursive,Python,2
0.011024,2000,merge_sort,recursive,Python,0
0.011091,2000,merge_sort,recursive,Python,0
0.011056,2000,merge_sort,recursive,Python,0
0.017382,3000,merge_sort,recursive,Python,0
0.017498,3000,merge_sort,recursive,Python,0
0.017527,3000,merge_sort,recursive,Python,0
0.017488,3000,merge_sort,recursive,Python,0
0.017560,3000,merge_sort,recursive,Python,0
0.017492,3000,merge_sort,recursive,Python,0
0.017403,3000,merge_sort,recursive,Python,0
0.017572,3000,merge_sort,recursive,Python,0
0.017400,3000,merge_sort,recursive,Python,1
0.017514,3000,merge_sort,recursive,Python,0
0.023724,4000,merge_sort,recursive,Python,0
0.023275,4000,merge_sort,recursive,Python,0
0.023678,4000,merge_sort,recursive,Python,0
0.023803,4000,merge_sort,recursive,Python,0
0.023648,4000,merge_sort,recursive,Python,0
0.023857,4000,merge_sort,recursive,Python,0
0.023906,4000,merge_sort,recursive,Python,0
0.023874,4000,merge_sort,recursive,Python,0
0.023755,4000,merge_sort,recursive,Python,0
0.023916,4000,merge_sort,recursive,Python,0
0.030457,5000,merge_sort,recursive,Python,0
0.030572,5000,merge_sort,recursive,Python,0
0.030697,5000,merge_sort,recursive,Python,0
0.030045,5000,merge_sort,recursive,Python,0
0.030599,5000,merge_sort,recursive,Python,0
0.030014,5000,merge_sort,recursive,Python,0
0.030628,5000,merge_sort,recursive,Python,0
0.030234,5000,merge_sort,recursive,Python,0
0.030417,5000,merge_sort,recursive,Python,0
0.030286,5000,merge_sort,recursive,Python,0
0.037410,6000,merge_sort,recursive,Python,0
0.037410,6000,merge_sort,recursive,Python,0
0.037533,6000,merge_sort,recursive,Python,0
0.036918,6000,merge_sort,recursive,Python,0
0.036938,6000,merge_sort,recursive,Python,0
0.037215,6000,merge_sort,recursive,Python,0
0.037568,6000,merge_sort,recursive,Python,0
0.037603,6000,merge_sort,recursive,Python,0
0.037750,6000,merge_sort,recursive,Python,0
0.037551,6000,merge_sort,recursive,Python,0
0.043988,7000,merge_sort,recursive,Python,0
0.044075,7000,merge_sort,recursive,Python,0
0.044295,7000,merge_sort,recursive,Python,0
0.043519,7000,merge_sort,recursive,Python,0
0.044163,7000,merge_sort,recursive,Python,0
0.044339,7000,merge_sort,recursive,Python,0
0.044063,7000,merge_sort,recursive,Python,0
0.044000,7000,merge_sort,recursive,Python,0
0.043951,7000,merge_sort,recursive,Python,0
0.044102,7000,merge_sort,recursive,Python,0
0.050781,8000,merge_sort,recursive,Python,0
0.049936,8000,merge_sort,recursive,Python,0
0.050780,8000,merge_sort,recursive,Python,0
0.050764,8000,merge_sort,recursive,Python,0
0.050692,8000,merge_sort,recursive,Python,0
0.050564,8000,merge_sort,recursive,Python,0
0.050819,8000,merge_sort,recursive,Python,0
0.050706,8000,merge_sort,recursive,Python,0
0.050691,8000,merge_sort,recursive,Python,0
0.051015,8000,merge_sort,recursive,Python,0
0.057886,9000,merge_sort,recursive,Python,0
0.058025,9000,merge_sort,recursive,Python,0
0.058079,9000,merge_sort,recursive,Python,0
0.058144,9000,merge_sort,recursive,Python,0
0.057832,9000,merge_sort,recursive,Python,0
0.058063,9000,merge_sort,recursive,Python,0
0.057947,9000,merge_sort,recursive,Python,0
0.058382,9000,merge_sort,recursive,Python,0
0.057959,9000,merge_sort,recursive,Python,0
0.057614,9000,merge_sort,recursive,Python,0
0.064970,10000,merge_sort,recursive,Python,0
0.065420,10000,merge_sort,recursive,Python,0
0.065590,10000,merge_sort,recursive,Python,0
0.065259,10000,merge_sort,recursive,Python,0
0.065448,10000,merge_sort,recursive,Python,0
0.065417,10000,merge_sort,recursive,Python,0
0.065369,10000,merge_sort,recursive,Python,0
0.065641,10000,merge_sort,recursive,Python,0
0.065446,10000,merge_sort,recursive,Python,0
0.064752,10000,merge_sort,recursive,Python,0
0.072395,11000,merge_sort,recursive,Python,0
0.072635,11000,merge_sort,recursive,Python,0
0.072577,11000,merge_sort,recursive,Python,0
0.072270,11000,merge_sort,recursive,Python,0
0.072093,11000,merge_sort,recursive,Python,0
0.073212,11000,merge_sort,recursive,Python,0
0.072145,11000,merge_sort,recursive,Python,0
0.073113,11000,merge_sort,recursive,Python,0
0.072424,11000,merge_sort,recursive,Python,0
0.072697,11000,merge_sort,recursive,Python,0
0.079866,12000,merge_sort,recursive,Python,0
0.079392,12000,merge_sort,recursive,Python,0
0.080236,12000,merge_sort,recursive,Python,0
0.080085,12000,merge_sort,recursive,Python,0
0.079996,12000,merge_sort,recursive,Python,0
0.079844,12000,merge_sort,recursive,Python,0
0.079742,12000,merge_sort,recursive,Python,0
0.078437,12000,merge_sort,recursive,Python,0
0.079664,12000,merge_sort,recursive,Python,0
0.079496,12000,merge_sort,recursive,Python,0
0.086580,13000,merge_sort,recursive,Python,0
0.086993,13000,merge_sort,recursive,Python,0
0.087192,13000,merge_sort,recursive,Python,0
0.086638,13000,merge_sort,recursive,Python,0
0.087062,13000,merge_sort,recursive,Python,0
0.087178,13000,merge_sort,recursive,Python,0
0.087120,13000,merge_sort,recursive,Python,0
0.086382,13000,merge_sort,recursive,Python,0
0.086508,13000,merge_sort,recursive,Python,0
0.087387,13000,merge_sort,recursive,Python,0
0.094664,14000,merge_sort,recursive,Python,0
0.094364,14000,merge_sort,recursive,Python,0
0.094192,14000,merge_sort,recursive,Python,0
0.093947,14000,merge_sort,recursive,Python,0
0.094288,14000,merge_sort,recursive,Python,0
0.094849,14000,merge_sort,recursive,Python,0
0.094642,14000,merge_sort,recursive,Python,0
0.094460,14000,merge_sort,recursive,Python,0
0.093932,14000,merge_sort,recursive,Python,0
0.094366,14000,merge_sort,recursive,Python,0
0.102457,15000,merge_sort,recursive,Python,0
0.101805,15000,merge_sort,recursive,Python,0
0.102344,15000,merge_sort,recursive,Python,0
0.100603,15000,merge_sort,recursive,Python,0
0.102078,15000,merge_sort,recursive,Python,0
0.102271,15000,merge_sort,recursive,Python,0
