time,input,algorithm,implementation,language,dummy
0.000008,1000,binary_search,recursive,Python,475
0.000006,1000,binary_search,recursive,Python,779
0.000005,1000,binary_search,recursive,Python,-1
0.000005,1000,binary_search,recursive,Python,-1
0.000005,1000,binary_search,recursive,Python,350
0.000005,1000,binary_search,recursive,Python,356
0.000005,1000,binary_search,recursive,Python,-1
0.000005,1000,binary_search,recursive,Python,640
0.000005,1000,binary_search,recursive,Python,403
0.000007,1000,binary_search,recursive,Python,308
0.000008,2000,binary_search,recursive,Python,-1
0.000009,2000,binary_search,recursive,Python,1648
0.000008,2000,binary_search,recursive,Python,-1
0.000008,2000,binary_search,recursive,Python,-1
0.000009,2000,binary_search,recursive,Python,-1
0.000005,2000,binary_search,recursive,Python,-1
0.000006,2000,binary_search,recursive,Python,226
0.000005,2000,binary_search,recursive,Python,-1
0.000005,2000,binary_search,recursive,Python,-1
0.000006,2000,binary_search,recursive,Python,1370
0.000006,3000,binary_search,recursive,Python,-1
0.000006,3000,binary_search,recursive,Python,-1
0.000006,3000,binary_search,recursive,Python,-1
0.000006,3000,binary_search,recursive,Python,1096
0.000006,3000,binary_search,recursive,Python,-1
0.000006,3000,binary_search,recursive,Python,2728
0.000006,3000,binary_search,recursive,Python,2439
0.000006,3000,binary_search,recursive,Python,673
0.000006,3000,binary_search,recursive,Python,-1
0.000004,3000,binary_search,recursive,Python,516
0.000006,4000,binary_search,recursive,Python,1940
0.000006,4000,binary_search,recursive,Python,-1
0.000006,4000,binary_search,recursive,Python,-1
0.000006,4000,binary_search,recursive,Python,-1
0.000006,4000,binary_search,recursive,Python,-1
0.000006,4000,binary_search,recursive,Python,2272
0.000006,4000,binary_search,recursive,Python,600
0.000004,4000,binary_search,recursive,Python,219
0.000006,4000,binary_search,recursive,Python,1018
0.000006,4000,binary_search,recursive,Python,-1
0.000007,5000,binary_search,recursive,Python,3115
0.000006,5000,binary_search,recursive,Python,-1
0.000007,5000,binary_search,recursive,Python,4744
0.000006,5000,binary_search,recursive,Python,2047
0.000006,5000,binary_search,recursive,Python,1478
0.000006,5000,binary_search,recursive,Python,621
0.000007,5000,binary_search,recursive,Python,4444
0.000006,5000,binary_search,recursive,Python,2474
0.000006,5000,binary_search,recursive,Python,-1
0.000006,5000,binary_search,recursive,Python,-1
0.000006,6000,binary_search,recursive,Python,-1
0.000007,6000,binary_search,recursive,Python,2390
0.000006,6000,binary_search,recursive,Python,-1
0.000007,6000,binary_search,recursive,Python,3602
0.000006,6000,binary_search,recursive,Python,-1
0.000007,6000,binary_search,recursive,Python,2031
0.000006,6000,binary_search,recursive,Python,2902
0.000007,6000,binary_search,recursive,Python,3665
0.000007,6000,binary_search,recursive,Python,2698
0.000007,6000,binary_search,recursive,Python,224
0.000007,7000,binary_search,recursive,Python,-1
0.000006,7000,binary_search,recursive,Python,-1
0.000006,7000,binary_search,recursive,Python,-1
0.000007,7000,binary_search,recursive,Python,-1
0.000007,7000,binary_search,recursive,Python,2142
0.000007,7000,binary_search,recursive,Python,-1
0.000007,7000,binary_search,recursive,Python,6784
0.000007,7000,binary_search,recursive,Python,-1
0.000006,7000,binary_search,recursive,Python,-1
0.000007,7000,binary_search,recursive,Python,-1
0.000007,8000,binary_search,recursive,Python,6937
0.000006,8000,binary_search,recursive,Python,7260
0.000007,8000,binary_search,recursive,Python,7886
0.000007,8000,binary_search,recursive,Python,-1
0.000007,8000,binary_search,recursive,Python,2906
0.000006,8000,binary_search,recursive,Python,6663
0.000007,8000,binary_search,recursive,Python,-1
0.000007,8000,binary_search,recursive,Python,713
0.000007,8000,binary_search,recursive,Python,2684
0.000006,8000,binary_search,recursive,Python,-1
0.000007,9000,binary_search,recursive,Python,-1
0.000007,9000,binary_search,recursive,Python,51
0.000008,9000,binary_search,recursive,Python,5818
0.000006,9000,binary_search,recursive,Python,7531
0.000007,9000,binary_search,recursive,Python,822
0.000007,9000,binary_search,recursive,Python,-1
0.000008,9000,binary_search,recursive,Python,5076
0.000007,9000,binary_search,recursive,Python,3312
0.000008,9000,binary_search,recursive,Python,-1
0.000007,9000,binary_search,recursive,Python,6723
0.000006,10000,binary_search,recursive,Python,7846
0.000007,10000,binary_search,recursive,Python,8120
0.000007,10000,binary_search,recursive,Python,-1
0.000007,10000,binary_search,recursive,Python,-1
0.000007,10000,binary_search,recursive,Python,9639
0.000006,10000,binary_search,recursive,Python,2916
0.000008,10000,binary_search,recursive,Python,6780
0.000007,10000,binary_search,recursive,Python,-1
0.000007,10000,binary_search,recursive,Python,-1
0.000007,10000,binary_search,recursive,Python,6262
0.000007,11000,binary_search,recursive,Python,-1
0.000007,11000,binary_search,recursive,Python,-1
0.000007,11000,binary_search,recursive,Python,8299
0.000007,11000,binary_search,recursive,Python,10909
0.000007,11000,binary_search,recursive,Python,-1
0.000008,11000,binary_search,recursive,Python,5339
0.000007,11000,binary_search,recursive,Python,10409
0.000007,11000,binary_search,recursive,Python,-1
0.000007,11000,binary_search,recursive,Python,768
0.000007,11000,binary_search,recursive,Python,-1
0.000007,12000,binary_search,recursive,Python,-1
0.000008,12000,binary_search,recursive,Python,8587
0.000007,12000,binary_search,recursive,Python,7299
0.000007,12000,binary_search,recursive,Python,-1
0.000007,12000,binary_search,recursive,Python,-1
0.000010,12000,binary_search,recursive,Python,-1
0.000008,12000,binary_search,recursive,Python,3775
0.000007,12000,binary_search,recursive,Python,-1
0.000008,12000,binary_search,recursive,Python,2098
0.000007,12000,binary_search,recursive,Python,9449
0.000008,13000,binary_search,recursive,Python,-1
0.000007,13000,binary_search,recursive,Python,-1
0.000008,13000,binary_search,recursive,Python,8391
0.000007,13000,binary_search,recursive,Python,12659
0.000008,13000,binary_search,recursive,Python,773
0.000007,13000,binary_search,recursive,Python,5046
0.000007,13000,binary_search,recursive,Python,-1
0.000007,13000,binary_search,recursive,Python,3121
0.000007,13000,binary_search,recursive,Python,-1
0.000008,13000,binary_search,recursive,Python,6826
0.000007,14000,binary_search,recursive,Python,-1
0.000008,14000,binary_search,recursive,Python,-1
0.000008,14000,binary_search,recursive,Python,4616
0.000008,14000,binary_search,recursive,Python,5971
0.000007,14000,binary_search,recursive,Python,-1
0.000008,14000,binary_search,recursive,Python,2796
0.000007,14000,binary_search,recursive,Python,4378
0.000006,14000,binary_search,recursive,Python,267
0.000007,14000,binary_search,recursive,Python,11848
0.000007,14000,binary_search,recursive,Python,-1
0.000009,15000,binary_search,recursive,Python,10005
0.000007,15000,binary_search,recursive,Python,-1
0.000010,15000,binary_search,recursive,Python,10509
0.000007,15000,binary_search,recursive,Python,14560
0.000007,15000,binary_search,recursive,Python,13761
0.000007,15000,binary_search,recursive,Python,6076
0.000007,15000,binary_search,recursive,Python,-1
0.000007,15000,binary_search,recursive,Python,-1
0.000007,15000,binary_search,recursive,Python,-1
