time,input,algorithm,implementation,language,dummy
0.042199,1000,insertion_sort,iterative,Python,0
0.042274,1000,insertion_sort,iterative,Python,1
0.042342,1000,insertion_sort,iterative,Python,0
0.041900,1000,insertion_sort,iterative,Python,1
0.040909,1000,insertion_sort,iterative,Python,1
0.040504,1000,insertion_sort,iterative,Python,0
0.040558,1000,insertion_sort,iterative,Python,0
0.042501,1000,insertion_sort,iterative,Python,1
0.042899,1000,insertion_sort,iterative,Python,1
0.041839,1000,insertion_sort,iterative,Python,1
0.167444,2000,insertion_sort,iterative,Python,0
0.170543,2000,insertion_sort,iterative,Python,1
0.170562,2000,insertion_sort,iterative,Python,0
0.178392,2000,insertion_sort,iterative,Python,0
0.183219,2000,insertion_sort,iterative,Python,0
0.172003,2000,insertion_sort,iterative,Python,0
0.170297,2000,insertion_sort,iterative,Python,2
0.183609,2000,insertion_sort,iterative,Python,0
0.193075,2000,insertion_sort,iterative,Python,0
0.198732,2000,insertion_sort,iterative,Python,0
0.384238,3000,insertion_sort,iterative,Python,0
0.456440,3000,insertion_sort,iterative,Python,0
0.419797,3000,insertion_sort,iterative,Python,0
0.383874,3000,insertion_sort,iterative,Python,0
0.447065,3000,insertion_sort,iterative,Python,0
0.438000,3000,insertion_sort,iterative,Python,0
0.458292,3000,insertion_sort,iterative,Python,0
0.402353,3000,insertion_sort,iterative,Python,0
0.386817,3000,insertion_sort,iterative,Python,1
0.448594,3000,insertion_sort,iterative,Python,0
0.682153,4000,insertion_sort,iterative,Python,0
0.677057,4000,insertion_sort,iterative,Python,0
0.751650,4000,insertion_sort,iterative,Python,0
0.806180,4000,insertion_sort,iterative,Python,0
0.826507,4000,insertion_sort,iterative,Python,0
0.764364,4000,insertion_sort,iterative,Python,0
0.773703,4000,insertion_sort,iterative,Python,0
0.759337,4000,insertion_sort,iterative,Python,0
0.808909,4000,insertion_sort,iterative,Python,0
0.778749,4000,insertion_sort,iterative,Python,0
1.236097,5000,insertion_sort,iterative,Python,0
1.275769,5000,insertion_sort,iterative,Python,0
1.308164,5000,insertion_sort,iterative,Python,0
1.118869,5000,insertion_sort,iterative,Python,0
1.094468,5000,insertion_sort,iterative,Python,0
1.162102,5000,insertion_sort,iterative,Python,0
1.235087,5000,insertion_sort,iterative,Python,0
1.292613,5000,insertion_sort,iterative,Python,0
1.235757,5000,insertion_sort,iterative,Python,0
1.193095,5000,insertion_sort,iterative,Python,0
1.711824,6000,insertion_sort,iterative,Python,0
1.554615,6000,insertion_sort,iterative,Python,0
1.634263,6000,insertion_sort,iterative,Python,0
